bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
1.04499,0,CS.D.NOKSEK.MINI.IP,-,1.0481,NOK/SEK Mini,CURRENCIES,1,1.04244,TRADEABLE,7e-05,1.04649,True,0.01,10000,True,-1550000,00:34:10
6.78007,0,CS.D.USDDKK.MINI.IP,-,6.78255,USD/DKK Mini,CURRENCIES,1,6.77594,TRADEABLE,0.00147,6.78207,True,0.02,10000,True,-1552000,00:34:08
9.16862,0,CS.D.USDNOK.MINI.IP,-,9.19272,USD/NOK Mini,CURRENCIES,1,9.16064,TRADEABLE,0.00131,9.17362,True,0.01,10000,True,-1550000,00:34:10
9.58907,0,CS.D.USDSEK.MINI.IP,-,9.6003,USD/SEK Mini,CURRENCIES,1,9.57827,TRADEABLE,0.00166,9.59157,True,0.02,10000,True,-1551000,00:34:09
1754.8,0,CS.D.ALUMINIUM.CFD.IP,-,1765.5,Aluminium,CURRENCIES,25,1753.0,EDITS_ONLY,-0.2,1760.8,True,-0.01,1,True,61140000,17:59:00
5936.9,0,CS.D.COPPER.CFD.IP,-,5951.4,Copper,CURRENCIES,25,5931.6,EDITS_ONLY,-1.2,5946.9,True,-0.02,1,True,61169000,17:59:29
1946.3,0,CS.D.LEAD.CFD.IP,-,1952.8,Lead,CURRENCIES,25,1939.3,EDITS_ONLY,0.4,1952.3,True,0.02,1,True,61154000,17:59:14
14528.0,0,CS.D.NICKEL.CFD.IP,-,14592.0,Nickel,CURRENCIES,6,14520.0,EDITS_ONLY,1.0,14558.0,True,0.01,1,True,61047000,17:57:27
2304.0,0,CS.D.ZINC.CFD.IP,-,2314.3,Zinc,CURRENCIES,25,2300.5,EDITS_ONLY,0.2,2310.0,True,0.01,1,True,61139000,17:58:59
1806.5,0,CS.D.PALL.CFD.IP,-,1816.0,Spot Palladium,CURRENCIES,100,1805.7,OFFLINE,-0.1,1814.2,True,-0.01,1,True,81000000,23:30:00
905.4,0,CS.D.PLAT.CFD.IP,-,910.5,Spot Platinum,CURRENCIES,50,905.1,TRADEABLE,-1.6,908.2,True,-0.18,1,True,-1557000,00:34:03
1460.73,0,CS.D.CFDGOLD.CFDGC.IP,-,1463.55,Spot Gold,CURRENCIES,100,1459.94,TRADEABLE,-0.45,1461.03,True,-0.03,1,True,-1549000,00:34:11
1707.9,0,CS.D.CFDSILVER.CFDSI.IP,-,1713.4,Spot Silver (5000oz),CURRENCIES,50,1705.6,TRADEABLE,1.8,1709.9,True,0.11,1,True,-1551000,00:34:09
1754.8,0,CS.D.ALUMINIUM.MINI.IP,-,1765.5,Aluminium ($5 Mini Contract),CURRENCIES,5,1753.0,EDITS_ONLY,-0.2,1760.8,True,-0.01,1,True,61140000,17:59:00
5936.9,0,CS.D.COPPER.MINI.IP,-,5951.4,Copper ($5 Mini Contract),CURRENCIES,5,5931.6,EDITS_ONLY,-1.2,5946.9,True,-0.02,1,True,61169000,17:59:29
1946.3,0,CS.D.LEAD.MINI.IP,-,1952.8,Lead ($5 Mini Contract),CURRENCIES,5,1939.3,EDITS_ONLY,0.4,1952.3,True,0.02,1,True,61154000,17:59:14
14528.0,0,CS.D.NICKEL.MINI.IP,-,14592.0,Nickel ($1 Mini Contract),CURRENCIES,1,14520.0,EDITS_ONLY,1.0,14558.0,True,0.01,1,True,61047000,17:57:27
2304.0,0,CS.D.ZINC.MINI.IP,-,2314.3,Zinc ($5 Mini Contract),CURRENCIES,5,2300.5,EDITS_ONLY,0.2,2310.0,True,0.01,1,True,61139000,17:58:59
1806.5,0,CS.D.PALL.CFM.IP,-,1816.0,Spot Palladium Mini (20oz),CURRENCIES,20,1805.7,OFFLINE,-0.1,1814.2,True,-0.01,1,True,81000000,23:30:00
905.4,0,CS.D.PLAT.CFM.IP,-,910.5,Spot Platinum Mini (10oz),CURRENCIES,10,905.1,TRADEABLE,-1.6,908.2,True,-0.18,1,True,-1557000,00:34:03
1460.73,0,CS.D.CFDGOLD.CFM.IP,-,1463.55,Spot Gold Mini (10oz),CURRENCIES,10,1459.94,TRADEABLE,-0.45,1461.03,True,-0.03,1,True,-1549000,00:34:11
1707.8,0,CS.D.CFDSILVER.CFM.IP,-,1713.4,Mini Spot Silver (500oz),CURRENCIES,5,1705.6,TRADEABLE,1.7,1709.8,True,0.1,1,True,-1548000,00:34:12
