bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
10087.3,0,CC.D.OJ.UNC.IP,-,10148.1,NY Orange Juice ($1.50),COMMODITIES,1,10038.1,EDITS_ONLY,23.1,10127.3,True,0.23,1,True,64781000,18:59:41
12270.3,0,CC.D.RR.UNC.IP,-,12313.6,Rough Rice ($2),COMMODITIES,2,12186.2,EDITS_ONLY,75.3,12310.3,True,0.62,1,True,65989000,19:19:49
12240.0,0,CO.D.RR.FWS1.IP,JAN-20,12260.0,Rough Rice ($2),COMMODITIES,2,12240.0,EDITS_ONLY,-20.0,12240.0,True,-0.16,1,True,77405000,22:30:05
29663.6,0,CC.D.SM.UNC.IP,-,30113.6,Soyabean Meal ($1),COMMODITIES,1,29622.6,EDITS_ONLY,-349.9,29703.6,True,-1.17,1,True,65996000,19:19:56
29470.0,0,CO.D.SM.FWS2.IP,DEC-19,29470.0,Soyabean Meal ($1),COMMODITIES,1,29470.0,EDITS_ONLY,0.0,29470.0,True,0.0,1,True,65999000,19:19:59
29710.0,0,CO.D.SM.FWS1.IP,JAN-20,29710.0,Soyabean Meal ($1),COMMODITIES,1,29710.0,EDITS_ONLY,0.0,29710.0,True,0.0,1,True,65999000,19:19:59
3030.9,0,CC.D.BO.UNC.IP,-,3066.7,Soyabean Oil ($6),COMMODITIES,6,3022.6,EDITS_ONLY,-23.9,3036.9,True,-0.78,1,True,65996000,19:19:56
3022.0,0,CO.D.BO.FWS4.IP,DEC-19,3022.0,Soyabean Oil ($6),COMMODITIES,6,3019.0,EDITS_ONLY,3.0,3022.0,True,0.1,1,True,77400000,22:30:00
3040.0,0,CO.D.BO.FWS2.IP,JAN-20,3040.0,Soyabean Oil ($6),COMMODITIES,6,3036.0,EDITS_ONLY,4.0,3040.0,True,0.13,1,True,77400000,22:30:00
886.8,0,CC.D.S.UNC.IP,-,898.4,Soyabeans ($50),COMMODITIES,50,885.0,EDITS_ONLY,-8.1,888.0,True,-0.9,1,True,65972000,19:19:32
884.3,0,CO.D.S.FWS2.IP,JAN-20,884.5,Soyabeans ($50),COMMODITIES,50,884.3,EDITS_ONLY,-0.2,884.3,True,-0.02,1,True,77400000,22:30:00
343.0,0,CC.D.LSU.UNC.IP,-,344.6,London Sugar No. 5 ($50),COMMODITIES,50,341.0,EDITS_ONLY,0.2,343.6,True,0.06,1,True,60899000,17:54:59
