bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
5935.0,0,IX.D.CAC.IFD.IP,-,5944.5,France 40 Cash (€10),INDICES,10,5928.4,TRADEABLE,-0.7,5938.0,True,-0.01,1,True,-1613000,00:33:07
13250.8,0,IX.D.DAX.FWS1.IP,DEC-19,13271.0,Germany 30 (€25),INDICES,25,13223.3,TRADEABLE,14.3,13262.8,True,0.11,1,True,-1612000,00:33:08
13245.3,0,IX.D.DAX.FWS2.IP,MAR-20,13265.5,Germany 30 (€25),INDICES,25,13217.8,TRADEABLE,14.3,13257.3,True,0.11,1,True,-1612000,00:33:08
13257.6,0,IX.D.DAX.IFD.IP,-,13269.8,Germany 30 Cash (€25),INDICES,25,13228.1,TRADEABLE,14.3,13261.6,True,0.11,1,True,-1612000,00:33:08
27564.0,0,TM.D.MDAX.FWS1.IP,DEC-19,27572.0,Germany Mid-Cap 50 (€5),INDICES,5,27564.0,EDITS_ONLY,0.0,27572.0,True,0.0,1,True,72000000,21:00:00
27578.0,0,TM.D.MDAX.IFD.IP,-,27687.0,Germany Mid-Cap 50 Cash (€5),INDICES,5,27461.0,EDITS_ONLY,30.0,27584.0,True,0.11,1,True,72000000,21:00:00
3061.5,0,TM.D.TECDAX.FWS1.IP,DEC-19,3064.5,Germany Tech 30,INDICES,10,3061.5,EDITS_ONLY,0.0,3064.5,True,0.0,1,True,72000000,21:00:00
3065.0,0,TM.D.TECDAX.IFD.IP,-,3119.0,Germany Tech 30 Cash,INDICES,10,3013.0,EDITS_ONLY,1.3,3067.0,True,0.04,1,True,72000000,21:00:00
10669.6,0,IX.D.HSCHIN.IFD.IP,-,10694.9,China H-Shares Cash (HK50),INDICES,50,10605.4,TRADEABLE,38.2,10687.6,True,0.36,1,True,-1613000,00:33:07
27005.2,0,IX.D.HANGSENG.IFD.IP,-,27081.6,Hong Kong HS50 Cash (HK50),INDICES,50,26886.3,TRADEABLE,63.6,27035.2,True,0.24,1,True,-1613000,00:33:07
23553.7,0,IX.D.MIB.FWS1.IP,DEC-19,23605.5,Italy 40 (€5),INDICES,5,23543.5,TRADEABLE,20.2,23591.7,True,0.09,1,True,-1613000,00:33:07
23548.9,0,IX.D.MIB.IFD.IP,-,23610.7,Italy 40 Cash (€5),INDICES,5,23517.7,TRADEABLE,15.2,23596.9,True,0.06,1,True,-1613000,00:33:07
12081.2,0,IX.D.NIFTY.IFD.IP,-,12101.5,India 50 Cash ($10),INDICES,10,12053.6,TRADEABLE,3.4,12091.2,True,0.03,1,True,-1613000,00:33:07
1586.8,0,TM.D.KLCI.IFD.IP,-,1591.7,Malaysia 30 Cash (MYR50),INDICES,50,1583.2,EDITS_ONLY,-1.9,1589.8,True,-0.12,1,True,-1712000,00:31:28
3171.0,0,TM.D.ATX.FWS1.IP,DEC-19,3197.5,Austria 20 (€10),INDICES,10,3024.0,EDITS_ONLY,-21.5,3171.0,True,-0.67,1,True,56400000,16:40:00
1224.1,0,IX.D.DEN25.IFD.IP,-,1224.1,Denmark 25 (DKK100 Contract),INDICES,100,1224.1,EDITS_ONLY,0.0,1224.1,True,-0.0,1,True,53700000,15:55:00
2235.8,0,TM.D.ATHENS.FWS2.IP,DEC-19,2255.8,Greece 25 (€2),INDICES,2,2235.8,EDITS_ONLY,-0.1,2255.8,True,-0.0,1,True,51600000,15:20:00
2240.8,0,TM.D.ATHENS.IFD.IP,-,2248.8,Greece 25 Cash (€2),INDICES,2,2240.8,EDITS_ONLY,-0.1,2248.8,True,-0.0,1,True,51600000,15:20:00
43760.0,0,TM.D.BUX.FWS1.IP,DEC-19,43760.0,Hungary 12 (HUF50),INDICES,50,43760.0,EDITS_ONLY,0.0,43760.0,True,0.0,1,True,54408000,16:06:48
43950.0,0,TM.D.BUX.IFD.IP,-,43950.0,Hungary 12 Cash (HUF50),INDICES,50,43950.0,EDITS_ONLY,0.0,43950.0,True,0.0,1,True,54408000,16:06:48
835.63,0,IX.D.OBX.IFD.IP,-,837.6,Norway 25 Cash (NK100),INDICES,100,834.31,TRADEABLE,1.62,837.13,True,0.19,1,True,-1613000,00:33:07
,0,IX.D.SMI.MTZ.IP,-,,Switzerland Blue Chip Cash,INDICES,10,,CLOSED,,,True,,1,True,,
10511.4,0,IX.D.SMI.IFD.IP,-,10528.4,Switzerland Blue Chip Cash (CHF10),INDICES,10,10495.4,TRADEABLE,-13.0,10517.4,True,-0.12,1,True,-1613000,00:33:07
10511.4,0,IX.D.SMI.IFJ.IP,-,10528.4,Switzerland Blue Chip Cash (CHF10),INDICES,10,10495.4,TRADEABLE,-13.0,10517.4,True,-0.12,1,True,-1613000,00:33:07
598.1,0,IX.D.AEX.FWS2.IP,DEC-19,599.1,Netherlands 25 (€200),INDICES,200,597.4,TRADEABLE,0.4,598.7,True,0.07,1,True,-1618000,00:33:02
598.22,0,IX.D.AEX.IFD.IP,-,599.12,Netherlands 25 Cash (€200),INDICES,200,597.32,TRADEABLE,0.5,598.72,True,0.08,1,True,-1618000,00:33:02
5158.4,0,IX.D.PSI20.IFD.IP,-,5211.1,Portugal 20 (â‚¬1),INDICES,1,5146.0,TRADEABLE,7.6,5208.4,True,0.15,1,True,-1613000,00:33:07
370.43,0,IX.D.SINGAPORE.IFD.IP,-,371.78,Singapore Blue Chip Cash (SD100),INDICES,100,369.24,TRADEABLE,0.99,370.63,True,0.27,1,True,-1618000,00:33:02
49920.0,0,IX.D.SAF.IFD.IP,-,50000.0,South Africa 40 Cash (R50),INDICES,50,49790.0,TRADEABLE,62.0,49970.0,True,0.12,1,True,-1613000,00:33:07
1743.8,0,IX.D.OMX.FWS1.IP,DEC-19,1746.59,Sweden 30 (SK100),INDICES,100,1738.75,TRADEABLE,3.09,1745.3,True,0.18,1,True,-1613000,00:33:07
