§ttbid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
,0,KC.D.DIGSLN.CASH.IP,-,183.4,GCP Student Living PLC,SHARES,0,181.8,EDITS_ONLY,1.8,,True,0.99,1,False,55762000,16:29:22
,0,KA.D.GABILN.CASH.IP,-,109.0,GCP Asset Backed Income Fund Limited,SHARES,0,108.5,EDITS_ONLY,1.0,,True,0.93,1,False,39731000,12:02:11
,0,KC.D.GTLYLN.CASH.IP,-,,Gateley LLP,SHARES,0,,EDITS_ONLY,0.5,,True,0.3,1,False,47002000,14:03:22
,0,KC.D.GLRLN.CASH.IP,-,,Galileo Resources PLC,SHARES,0,,EDITS_ONLY,0.0,,True,0.0,1,False,25200000,08:00:00
,0,KC.D.GVPLN.CASH.IP,-,,Gabelli Value Plus+ Trust PLC,SHARES,0,,EDITS_ONLY,0.5,,True,0.38,1,False,25200000,08:00:00
,0,KA.D.GABCLN.CASH.IP,-,,GCP Asset Backed Income Fund Limited - C,SHARES,0,,CLOSED,0.0,,True,0.0,1,False,48675000,14:31:15
,0,KC.D.GBGILN.CASH.IP,-,,GBGI Limited,SHARES,0,,CLOSED,0.0,,True,0.0,1,False,25200000,08:00:00
,0,KC.D.GAMELN.CASH.IP,-,141.5,GAN PLC,SHARES,0,138.5,EDITS_ONLY,3.0,,True,2.17,1,False,55149000,16:19:09
,0,KA.D.GMDLN.CASH.IP,-,,GAME Digital PLC,SHARES,0,,CLOSED,0.0,,True,0.0,1,False,48674000,14:31:14
,0,KC.D.AQSGLN.CASH.IP,-,,Aquila Services Group PLC,SHARES,0,,EDITS_ONLY,2.0,,True,6.06,1,False,26500000,08:21:40
,0,KA.D.GKN.CASH.IP,-,,GKN PLC,SHARES,0,,CLOSED,0.0,,True,0.0,1,False,48674000,14:31:14
,0,KA.D.GNS.CASH.IP,-,3162.0,Genus PLC,SHARES,0,3084.0,EDITS_ONLY,68.0,,True,2.21,1,False,55772000,16:29:32
,0,KC.D.GFINLN.CASH.IP,-,,Gfinity plc,SHARES,0,,EDITS_ONLY,0.18,,True,4.19,1,False,40709000,12:18:29
,0,KA.D.GEMLN.CASH.IP,-,,Gemfields PLC,SHARES,0,,CLOSED,0.0,,True,0.0,1,False,48674000,14:31:14
,0,KA.D.GEMD.CASH.IP,-,61.0,Gem Diamonds Ltd,SHARES,0,60.6,EDITS_ONLY,1.5,,True,2.52,1,False,55680000,16:28:00
,0,KC.D.GCLLN.CASH.IP,-,,Geiger Counter Ltd,SHARES,0,,EDITS_ONLY,0.0,,True,0.0,1,False,25201000,08:00:01
,0,KC.D.G4MLN.CASH.IP,-,,Gear4music (Holdings) PLC,SHARES,0,,EDITS_ONLY,7.5,,True,3.66,1,False,49460000,14:44:20
